Setting,prompt_id,Prompts,failure_ratio,score_mean,score_std,0,1,2,3,4,5,6,7,8,9
Basic,0,Flowery\nWriting style,0.2,1.03,0.77,1.67,1.33,0,1,-0.67,2,1,1,1.67,1.33
Basic,1,Humorous\nTone,0.9,-0.5,0.48,-0.67,0,-1,-0.67,-0.67,0,-0.33,-0.67,-1.33,0.33
Basic,2,Fearful\nMood,0.3,0.57,0.7,1.33,-0.33,1.33,0.33,0.33,-0.67,1.33,1,0,1
Basic,3,Indirect\nCharacterization,0.2,0.7,0.64,1,0.67,-0.33,1,0.67,1.33,1,1,1.33,-0.67
Basic,4,Fast\nPacing,0.1,1.23,0.72,1.33,1,1.33,1.33,2,1,-0.67,1.33,1.67,2
Basic,5,"""Tragedy""\nPlot",0,1.6,0.39,1.33,1.67,1.67,2,1.33,2,1,2,2,1
Basic,6,Historical Fiction\nGenre,0.3,0.77,0.93,0.33,1,2,1.33,1.67,0,-0.33,1,1.67,-1
Basic,7,Write a sentence with twenty words about love:,1.0,,,13.0,16.0,16.0,15.0,15.0,24.0,16.0,9.0,12.0,9.0
Basic,8,Write a paragraph with ten sentences about love:,0.9,,,7.0,6.0,6.0,0.0,5.0,10.0,8.0,16.0,9.0,12.0
Basic,9,Write a passage with five paragraphs about Elon Musk:,1.0,,,7.0,4.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0
+ Definition,0,Flowery\nWriting style,0.1,1.43,0.65,0.67,2,2,1,0,1.33,2,1.67,1.67,2
+ Definition,1,Humorous\nTone,0.6,0.2,1.16,-0.33,0,1.67,1,2,0,1,-0.67,-2,-0.67
+ Definition,2,Fearful\nMood,0,1.53,0.56,2,0.33,1.67,1.33,0.67,1.67,1.67,2,2,2
+ Definition,3,Indirect\nCharacterization,0,1.23,0.42,0.67,1.33,1.67,1.67,1.67,1.67,1.33,0.67,0.67,1
+ Definition,4,Fast\nPacing,0,1.13,0.54,1.33,1.33,0.33,1.67,0.33,1.67,1.67,0.67,0.67,1.67
+ Definition,5,"""Tragedy""\nPlot",0.1,1.47,0.48,1.67,2,1.33,1.67,1.67,2,1.33,0.33,1.67,1
+ Definition,6,Historical Fiction\nGenre,0.2,1.2,0.76,1.67,1.33,0,0.33,1.33,2,1.33,2,0,2
+ Definition,7,Write a sentence with twenty words about love:,1.0,,,10.0,9.0,24.0,10.0,12.0,9.0,15.0,16.0,10.0,24.0
+ Definition,8,Write a paragraph with ten sentences about love:,0.9,,,14.0,0.0,5.0,4.0,9.0,6.0,0.0,0.0,10.0,0.0
+ Definition,9,Write a passage with five paragraphs about Elon Musk:,1.0,,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
+ Demonstration,0,Flowery\nWriting style,0,1.47,0.4,1.67,1.67,1.33,1.67,1.33,1,2,2,0.67,1.33
+ Demonstration,1,Humorous\nTone,0.2,0.73,0.88,0.67,1,0,-1.33,1.67,0.33,1,1,2,1
+ Demonstration,2,Fearful\nMood,0,1.73,0.47,2,2,2,2,1.67,2,0.67,2,1,2
+ Demonstration,3,Indirect\nCharacterization,0.2,1.07,0.84,1.67,-0.33,1.33,1.33,1.67,-0.33,2,2,0.33,1
+ Demonstration,4,Fast\nPacing,0.3,0.83,0.72,-0.33,1.33,1.67,-0.33,1.67,0.33,1.33,1.33,0.67,0.67
+ Demonstration,5,"""Tragedy""\nPlot",0,1.37,0.43,1,1.67,1,1.67,1.33,1,1.33,2,0.67,2
+ Demonstration,6,Historical Fiction\nGenre,0,1.33,0.49,1.67,1.33,1,1,1.33,2,1.67,2,1,0.33
+ Demonstration,7,Write a sentence with twenty words about love:,1.0,,,14.0,16.0,18.0,15.0,13.0,14.0,12.0,12.0,11.0,17.0
+ Demonstration,8,Write a paragraph with ten sentences about love:,0.7,,,10.0,5.0,7.0,10.0,8.0,10.0,8.0,0.0,5.0,7.0
+ Demonstration,9,Write a passage with five paragraphs about Elon Musk:,1.0,,,3.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0
+ Explanation,0,Flowery\nWriting style,0,1.5,0.5,0.67,1.67,2,2,1,2,1.67,1.67,1.67,0.67
+ Explanation,1,Humorous\nTone,0.1,0.8,0.7,1.67,0.33,-0.67,1,0.67,0.33,0.67,1.67,1.67,0.67
+ Explanation,2,Fearful\nMood,0.1,1.47,0.85,2,2,2,-0.67,0.67,2,2,2,1,1.67
+ Explanation,3,Indirect\nCharacterization,0,1.07,0.39,0.33,1.67,1.33,1.33,0.67,1.33,1,1,1.33,0.67
+ Explanation,4,Fast\nPacing,0.2,0.63,0.5,1.33,0.67,-0.33,0.67,0.67,0.67,1.33,0.33,1,0
+ Explanation,5,"""Tragedy""\nPlot",0,1.83,0.34,2,2,1,2,2,2,2,2,1.33,2
+ Explanation,6,Historical Fiction\nGenre,0.1,1.17,0.64,0.67,0.67,1.33,-0.33,1.33,1.67,1.33,2,1.33,1.67
+ Explanation,7,Write a sentence with twenty words about love:,1.0,,,13.0,12.0,15.0,14.0,15.0,9.0,24.0,11.0,18.0,11.0
+ Explanation,8,Write a paragraph with ten sentences about love:,0.9,,,5.0,0.0,0.0,10.0,6.0,0.0,0.0,5.0,9.0,8.0
+ Explanation,9,Write a passage with five paragraphs about Elon Musk:,1.0,,,4.0,4.0,3.0,3.0,3.0,5.0,4.0,3.0,3.0,3.0